Colony,Site,DATE,Method,VisitID
Admirals,Admirals (enclosed beach),19/09/2004,COLO,134
Admirals,Admirals (enclosed beach),23/11/2003,COLO,135
Admirals,Admirals (enclosed beach),26/10/2000,COLO,136
Admirals,Admirals islet from south,15/10/2011,SURV,137
Admirals,Enclosed beach at Admirals,07/12/2008,COLO,138
Admirals,Enclosed beach at Admirals,13/01/2009,COLO,139
Admirals,Enclosed beach at Admirals,19/10/2005,COLO,140
Admirals,Enclosed beach at Admirals,20/10/2008,COLO,141
Admirals,Enclosed beach at Admirals,30/09/2006,COLO,142
Admirals,Enclosed beach at Admirals (main patch),05/11/2015,COLO,143
Admirals,Enclosed beach at Admirals (main patch),07/01/2017,COLO,144
Admirals,Enclosed beach at Admirals (main patch),12/01/2012,COLO,145
Admirals,Enclosed beach at Admirals (main patch),13/01/2015,COLO,146
Admirals,Enclosed beach at Admirals (main patch),13/10/2010,COLO,147
Admirals,Enclosed beach at Admirals (main patch),13/11/2016,COLO,148
Admirals,Enclosed beach at Admirals (main patch),14/01/2010,COLO,149
Admirals,Enclosed beach at Admirals (main patch),15/01/2016,COLO,150
Admirals,Enclosed beach at Admirals (main patch),18/10/2012,COLO,151
Admirals,Enclosed beach at Admirals (main patch),19/10/2011,COLO,152
Admirals,Enclosed beach at Admirals (main patch),22/11/2014,COLO,153
Admirals,Enclosed beach at Admirals (main patch),26/10/2009,COLO,154
Admirals,Enclosed beach at Admirals (main patch),26/10/2014,COLO,155
Admirals,Enclosed beach at Admirals (main patch),26/10/2016,COLO,156
Admirals,Enclosed beach at Admirals (main patch),26/11/2015,COLO,157
Admirals,Enclosed beach at Admirals (small patch to north),05/11/2015,COLO,158
Admirals,Enclosed beach at Admirals (small patch to north),07/01/2017,COLO,159
Admirals,Enclosed beach at Admirals (small patch to north),12/01/2012,COLO,160
Admirals,Enclosed beach at Admirals (small patch to north),13/01/2015,COLO,161
Admirals,Enclosed beach at Admirals (small patch to north),13/10/2010,COLO,162
Admirals,Enclosed beach at Admirals (small patch to north),13/11/2016,COLO,163
Admirals,Enclosed beach at Admirals (small patch to north),14/01/2010,COLO,164
Admirals,Enclosed beach at Admirals (small patch to north),15/01/2016,COLO,165
Admirals,Enclosed beach at Admirals (small patch to north),18/10/2012,COLO,166
Admirals,Enclosed beach at Admirals (small patch to north),19/10/2011,COLO,167
Admirals,Enclosed beach at Admirals (small patch to north),22/11/2014,COLO,168
Admirals,Enclosed beach at Admirals (small patch to north),26/10/2009,COLO,169
Admirals,Enclosed beach at Admirals (small patch to north),26/10/2014,COLO,170
Admirals,Enclosed beach at Admirals (small patch to north),26/10/2016,COLO,171
Admirals,Enclosed beach at Admirals (small patch to north),26/11/2015,COLO,172
Admirals,Enclosed beach at Admirals (southern most patch),05/11/2015,COLO,173
Admirals,Enclosed beach at Admirals (southern most patch),07/01/2017,COLO,174
Admirals,Enclosed beach at Admirals (southern most patch),12/01/2012,COLO,175
Admirals,Enclosed beach at Admirals (southern most patch),13/01/2015,COLO,176
Admirals,Enclosed beach at Admirals (southern most patch),13/11/2016,COLO,177
Admirals,Enclosed beach at Admirals (southern most patch),15/01/2016,COLO,178
Admirals,Enclosed beach at Admirals (southern most patch),18/10/2012,COLO,179
Admirals,Enclosed beach at Admirals (southern most patch),19/10/2011,COLO,180
Admirals,Enclosed beach at Admirals (southern most patch),22/11/2014,COLO,181
Admirals,Enclosed beach at Admirals (southern most patch),26/10/2009,COLO,182
Admirals,Enclosed beach at Admirals (southern most patch),26/10/2014,COLO,183
Admirals,Enclosed beach at Admirals (southern most patch),26/10/2016,COLO,184
Admirals,Enclosed beach at Admirals (southern most patch),26/11/2015,COLO,185
Albatross Plain,Albatross Plain,10/09/2010,SURV,186
Albatross Plain,Albatross Plain,17/09/2015,SURV,187
Albatross Plain,Albatross Plain,19/02/2010,SURV,188
Albatross Plain,Albatross Plain,20/09/2009,SURV,189
Albatross Plain,Albatross Plain,20/09/2016,SURV,190
Albatross Plain,Albatross Plain,23/09/2017,SURV,191
Albatross Plain,Albatross Plain,24/01/2015,SURV,192
Albatross Plain,Albatross Plain,30/01/2009,SURV,193
Albatross Plain,Albatross Plain,30/01/2017,SURV,194
Albatross Plain,Albatross Plain,31/01/2016,SURV,195
Albatross Plain,Albatross Plain,no specified date,SURV,196
Area 1,Area 1,15/10/2016,SURV,197
Area 1,Area 1,19/12/2016,SURV,198
Area 1,Area 1,25/03/2017,SURV,199
Area 1,Study colony,01/04/2014,SURV,200
Area 1,Study colony,01/04/2016,SURV,201
Area 1,Study colony,07/10/2011,SURV,202
Area 1,Study colony,08/10/2010,SURV,203
Area 1,Study colony,11/10/2000,SURV,204
Area 1,Study colony,11/10/2005,SURV,205
Area 1,Study colony,12/12/2008,SURV,206
Area 1,Study colony,13/10/2009,SURV,207
Area 1,Study colony,14/12/2010,SURV,208
Area 1,Study colony,15/10/2008,SURV,209
Area 1,Study colony,16/12/2009,SURV,210
Area 1,Study colony,16/12/2011,SURV,211
Area 1,Study colony,17/03/2010,SURV,212
Area 1,Study colony,17/10/2013,SURV,213
Area 1,Study colony,18/03/2011,SURV,214
Area 1,Study colony,21/12/2015,SURV,215
Area 1,Study colony,22/10/2015,SURV,216
Area 1,Study colony,22/12/2014,SURV,217
Area 1,Study colony,24/10/2014,SURV,218
Area 1,Study colony,27/03/2009,SURV,219
Area 1,Study colony,30/03/2015,SURV,220
Area 1,Study colony,31/12/2013,SURV,221
Area 1,Study colony,no specified date,SURV,222
Area 10,Area 10,11/10/2016,SURV,223
Area 10,Area 10,22/12/2016,SURV,224
Area 10,Area 10,23/03/2017,SURV,225
Area 10,Satelite area over two streams,01/04/2014,SURV,226
Area 10,Satelite area over two streams,02/04/2016,SURV,227
Area 10,Satelite area over two streams,05/11/2000,SURV,228
Area 10,Satelite area over two streams,11/10/2010,SURV,229
Area 10,Satelite area over two streams,13/10/2008,SURV,230
Area 10,Satelite area over two streams,14/10/2009,SURV,231
Area 10,Satelite area over two streams,15/10/2015,SURV,232
Area 10,Satelite area over two streams,16/10/2014,SURV,233
Area 10,Satelite area over two streams,16/12/2008,SURV,234
Area 10,Satelite area over two streams,16/12/2009,SURV,235
Area 10,Satelite area over two streams,17/03/2010,SURV,236
Area 10,Satelite area over two streams,17/12/2011,SURV,237
Area 10,Satelite area over two streams,18/10/2013,SURV,238
Area 10,Satelite area over two streams,18/12/2010,SURV,239
Area 10,Satelite area over two streams,19/03/2011,SURV,240
Area 10,Satelite area over two streams,21/12/2015,SURV,241
Area 10,Satelite area over two streams,23/10/2011,SURV,242
Area 10,Satelite area over two streams,26/11/2005,SURV,243
Area 10,Satelite area over two streams,26/12/2014,SURV,244
Area 10,Satelite area over two streams,27/10/2003,SURV,245
Area 10,Satelite area over two streams,30/03/2009,SURV,246
Area 10,Satelite area over two streams,30/03/2015,SURV,247
Area 10,Satelite area over two streams,31/12/2013,SURV,248
Area 11,Area 11,09/11/2009,SURV,249
Area 2,Area 2,16/10/2016,SURV,250
Area 2,Area 2,21/03/2017,SURV,251
Area 2,Area 2,22/12/2016,SURV,252
Area 2,Area between streams of Blechnum bridge and water dam,01/04/2014,SURV,253
Area 2,Area between streams of Blechnum bridge and water dam,02/04/2016,SURV,254
Area 2,Area between streams of Blechnum bridge and water dam,07/10/2010,SURV,255
Area 2,Area between streams of Blechnum bridge and water dam,12/12/2008,SURV,256
Area 2,Area between streams of Blechnum bridge and water dam,13/10/2008,SURV,257
Area 2,Area between streams of Blechnum bridge and water dam,14/10/2009,SURV,258
Area 2,Area between streams of Blechnum bridge and water dam,15/10/2015,SURV,259
Area 2,Area between streams of Blechnum bridge and water dam,16/10/2005,SURV,260
Area 2,Area between streams of Blechnum bridge and water dam,16/12/2009,SURV,261
Area 2,Area between streams of Blechnum bridge and water dam,17/12/2010,SURV,262
Area 2,Area between streams of Blechnum bridge and water dam,18/03/2011,SURV,263
Area 2,Area between streams of Blechnum bridge and water dam,18/10/2014,SURV,264
Area 2,Area between streams of Blechnum bridge and water dam,18/12/2011,SURV,265
Area 2,Area between streams of Blechnum bridge and water dam,20/03/2010,SURV,266
Area 2,Area between streams of Blechnum bridge and water dam,21/12/2015,SURV,267
Area 2,Area between streams of Blechnum bridge and water dam,24/10/2011,SURV,268
Area 2,Area between streams of Blechnum bridge and water dam,27/12/2014,SURV,269
Area 2,Area between streams of Blechnum bridge and water dam,29/10/2013,SURV,270
Area 2,Area between streams of Blechnum bridge and water dam,30/03/2009,SURV,271
Area 2,Area between streams of Blechnum bridge and water dam,30/03/2015,SURV,272
Area 2,Area between streams of Blechnum bridge and water dam,31/12/2013,SURV,273
Area 2,Area between streams of Blechnum bridge and water damm,11/10/2000,SURV,274
Area 2,Area between streams of Blechnum bridge and water damm,21/09/2004,SURV,275
Area 2,Area between streams of Blechnum bridge and water damm,28/10/2003,SURV,276
Area 3,Area 3,11/10/2016,SURV,277
Area 3,Area 3,22/03/2017,SURV,278
Area 3,Area 3,22/12/2016,SURV,279
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",02/04/2014,SURV,280
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",02/04/2016,SURV,281
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",08/10/2010,SURV,282
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",11/10/2000,SURV,283
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",12/12/2008,SURV,284
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",13/10/2009,SURV,285
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",14/10/2008,SURV,286
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",16/10/2015,SURV,287
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",16/12/2009,SURV,288
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",16/12/2011,SURV,289
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",17/10/2014,SURV,290
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",17/12/2010,SURV,291
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",18/10/2005,SURV,292
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",19/03/2011,SURV,293
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",19/10/2013,SURV,294
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",20/03/2010,SURV,295
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",21/09/2004,SURV,296
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",21/10/2011,SURV,297
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",21/12/2015,SURV,298
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",23/12/2013,SURV,299
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",26/12/2014,SURV,300
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",30/03/2009,SURV,301
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",30/03/2015,SURV,302
Area 3,"Control area, Between streams lower and upper section, up to boundary of Phylica trees",31/10/2003,SURV,303
Area 4,Area 4,13/10/2016,SURV,304
Area 4,Under bluffs,03/12/2005,SURV,305
Area 4,Under bluffs,10/10/2010,SURV,306
Area 4,Under bluffs,12/10/2000,SURV,307
Area 4,Under bluffs,13/10/2009,SURV,308
Area 4,Under bluffs,14/10/2008,SURV,309
Area 4,Under bluffs,17/10/2014,SURV,310
Area 4,Under bluffs,19/10/2013,SURV,311
Area 4,Under bluffs,26/10/2015,SURV,312
Area 4,Under bluffs,27/10/2003,SURV,313
Area 4,Under bluffs,31/10/2011,SURV,314
Area 5,Area 5,17/10/2016,SURV,315
Area 5,"Thin ridge between waterpipe stream and golden highway stream, up to highest point of ridge",02/11/2011,SURV,316
Area 5,"Thin ridge between waterpipe stream and golden highway stream, up to highest point of ridge",08/10/2010,SURV,317
Area 5,"Thin ridge between waterpipe stream and golden highway stream, up to highest point of ridge",13/10/2008,SURV,318
Area 5,"Thin ridge between waterpipe stream and golden highway stream, up to highest point of ridge",14/10/2009,SURV,319
Area 5,"Thin ridge between waterpipe stream and golden highway stream, up to highest point of ridge",16/10/2000,SURV,320
Area 5,"Thin ridge between waterpipe stream and golden highway stream, up to highest point of ridge",16/10/2014,SURV,321
Area 5,"Thin ridge between waterpipe stream and golden highway stream, up to highest point of ridge",17/11/2015,SURV,322
Area 5,"Thin ridge between waterpipe stream and golden highway stream, up to highest point of ridge",27/10/2015,SURV,323
Area 5,"Thin ridge between waterpipe stream and golden highway stream, up to highest point of ridge",28/10/2003,SURV,324
Area 5,"Thin ridge between waterpipe stream and golden highway stream, up to highest point of ridge",29/10/2013,SURV,325
Area 6,Area 6,30/10/2016,SURV,326
Area 6,"Area from where path leaves golden highway to crossing of next stream, bound on upper by where ridge joins main ridge (with large 20' high perched wind-carved rock, at upper edge of Phylica)",11/10/2010,SURV,327
Area 6,"Area from where path leaves golden highway to crossing of next stream, bound on upper by where ridge joins main ridge (with large 20' high perched wind-carved rock, at upper edge of Phylica)",13/10/2008,SURV,328
Area 6,"Area from where path leaves golden highway to crossing of next stream, bound on upper by where ridge joins main ridge (with large 20' high perched wind-carved rock, at upper edge of Phylica)",14/10/2009,SURV,329
Area 6,"Area from where path leaves golden highway to crossing of next stream, bound on upper by where ridge joins main ridge (with large 20' high perched wind-carved rock, at upper edge of Phylica)",17/11/2005,SURV,330
Area 6,"Area from where path leaves golden highway to crossing of next stream, bound on upper by where ridge joins main ridge (with large 20' high perched wind-carved rock, at upper edge of Phylica)",23/10/2014,SURV,331
Area 6,"Area from where path leaves golden highway to crossing of next stream, bound on upper by where ridge joins main ridge (with large 20' high perched wind-carved rock, at upper edge of Phylica)",24/10/2000,SURV,332
Area 6,"Area from where path leaves golden highway to crossing of next stream, bound on upper by where ridge joins main ridge (with large 20' high perched wind-carved rock, at upper edge of Phylica)",27/10/2011,SURV,333
Area 6,"Area from where path leaves golden highway to crossing of next stream, bound on upper by where ridge joins main ridge (with large 20' high perched wind-carved rock, at upper edge of Phylica)",27/10/2015,SURV,334
Area 6,"Area from where path leaves golden highway to crossing of next stream, bound on upper by where ridge joins main ridge (with large 20' high perched wind-carved rock, at upper edge of Phylica)",28/10/2003,SURV,335
Area 6,"Area from where path leaves golden highway to crossing of next stream, bound on upper by where ridge joins main ridge (with large 20' high perched wind-carved rock, at upper edge of Phylica)",29/10/2013,SURV,336
Area 7,Area 7,17/10/2016,SURV,337
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",01/04/2017,SURV,338
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",04/04/2013,SURV,339
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",05/01/2011,SURV,340
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",06/01/2012,SURV,341
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",08/04/2016,SURV,342
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",11/10/2010,SURV,343
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",13/10/2008,SURV,344
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",14/04/2011,SURV,345
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",17/04/2010,SURV,346
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",17/11/2005,SURV,347
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",18/12/2008,SURV,348
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",19/04/2014,SURV,349
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",19/11/2011,SURV,350
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",21/12/2013,SURV,351
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",22/12/2012,SURV,352
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",23/10/2014,SURV,353
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",24/03/2009,SURV,354
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",26/10/2012,SURV,355
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",26/12/2015,SURV,356
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",27/04/2012,SURV,357
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",27/10/2000,SURV,358
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",27/12/2016,SURV,359
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",28/10/2015,SURV,360
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",29/01/2010,SURV,361
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",29/10/2013,SURV,362
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",30/10/2009,SURV,363
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams (yellownose area 7)",30/10/2016,SURV,364
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",11/10/2010,SURV,365
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",13/10/2008,SURV,366
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",14/10/2009,SURV,367
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",18/10/2000,SURV,368
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",19/11/2005,SURV,369
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",23/10/2014,SURV,370
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",25/10/2011,SURV,371
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",27/10/2015,SURV,372
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",28/10/2003,SURV,373
Area 7,"Ridge on path up to tafelkop, from lower stream boundary and between streams. Upper boundary by top of slip on true left of ridge, near where yellow nose cease to breed",29/10/2013,SURV,374
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),01/04/2017,SURV,375
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),03/11/2000,SURV,376
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),04/04/2013,SURV,377
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),05/01/2011,SURV,378
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),05/04/2015,SURV,379
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),06/01/2012,SURV,380
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),08/04/2016,SURV,381
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),11/10/2010,SURV,382
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),13/10/2008,SURV,383
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),14/04/2011,SURV,384
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),17/04/2010,SURV,385
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),18/12/2008,SURV,386
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),19/04/2014,SURV,387
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),19/11/2005,SURV,388
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),21/01/2001,SURV,389
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),21/12/2013,SURV,390
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),22/12/2012,SURV,391
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),23/10/2014,SURV,392
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),24/03/2009,SURV,393
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),25/10/2011,SURV,394
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),26/04/2012,SURV,395
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),26/10/2012,SURV,396
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),26/12/2014,SURV,397
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),26/12/2015,SURV,398
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),27/12/2016,SURV,399
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),28/10/2015,SURV,400
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),28/12/2009,SURV,401
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),29/10/2013,SURV,402
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),30/10/2009,SURV,403
Area 7,Ridge to east of ridge up to Tafelkop (yellownose area 7),30/10/2016,SURV,404
Area 8,Area 8,13/10/2016,SURV,405
Area 9,Area 9,28/10/2016,SURV,406
Area 9,"Serengeti: Area to south and east of Pummel crag, bounded on southern side by stream to waterfall above Haularound point, on north by small stream that starts to south of Pummel, top is where these two stream nearly meet",01/11/2003,SURV,407
Area 9,"Serengeti: Area to south and east of Pummel crag, bounded on southern side by stream to waterfall above Haularound point, on north by small stream that starts to south of Pummel, top is where these two stream nearly meet",05/12/2005,SURV,408
Area 9,"Serengeti: Area to south and east of Pummel crag, bounded on southern side by stream to waterfall above Haularound point, on north by small stream that starts to south of Pummel, top is where these two stream nearly meet",10/10/2010,SURV,409
Area 9,"Serengeti: Area to south and east of Pummel crag, bounded on southern side by stream to waterfall above Haularound point, on north by small stream that starts to south of Pummel, top is where these two stream nearly meet",13/10/2008,SURV,410
Area 9,"Serengeti: Area to south and east of Pummel crag, bounded on southern side by stream to waterfall above Haularound point, on north by small stream that starts to south of Pummel, top is where these two stream nearly meet",15/10/2009,SURV,411
Area 9,"Serengeti: Area to south and east of Pummel crag, bounded on southern side by stream to waterfall above Haularound point, on north by small stream that starts to south of Pummel, top is where these two stream nearly meet",25/10/2014,SURV,412
Area 9,"Serengeti: Area to south and east of Pummel crag, bounded on southern side by stream to waterfall above Haularound point, on north by small stream that starts to south of Pummel, top is where these two stream nearly meet",28/10/2000,SURV,413
Area 9,"Serengeti: Area to south and east of Pummel crag, bounded on southern side by stream to waterfall above Haularound point, on north by small stream that starts to south of Pummel, top is where these two stream nearly meet",28/10/2011,SURV,414
Area 9,"Serengeti: Area to south and east of Pummel crag, bounded on southern side by stream to waterfall above Haularound point, on north by small stream that starts to south of Pummel, top is where these two stream nearly meet",29/10/2013,SURV,415
Area 9,"Serengeti: Area to south and east of Pummel crag, bounded on southern side by stream to waterfall above Haularound point, on north by small stream that starts to south of Pummel, top is where these two stream nearly meet",31/10/2015,SURV,416
Area to south of Cavern head,Area to south of Cavern head,05/04/2017,SURV,417
Area to south of Cavern head,Area to south of Cavern head,08/04/2016,SURV,418
Area to south of Cavern head,Area to south of Cavern head,08/11/2000,SURV,419
Area to south of Cavern head,Area to south of Cavern head,11/10/2010,SURV,420
Area to south of Cavern head,Area to south of Cavern head,12/04/2011,SURV,421
Area to south of Cavern head,Area to south of Cavern head,14/10/2008,SURV,422
Area to south of Cavern head,Area to south of Cavern head,14/10/2009,SURV,423
Area to south of Cavern head,Area to south of Cavern head,17/10/2005,SURV,424
Area to south of Cavern head,Area to south of Cavern head,17/10/2013,SURV,425
Area to south of Cavern head,Area to south of Cavern head,20/10/2012,SURV,426
Area to south of Cavern head,Area to south of Cavern head,22/10/2014,SURV,427
Area to south of Cavern head,Area to south of Cavern head,24/10/2016,SURV,428
Area to south of Cavern head,Area to south of Cavern head,26/12/2015,SURV,429
Area to south of Cavern head,Area to south of Cavern head,27/12/2016,SURV,430
Area to south of Cavern head,Area to south of Cavern head,28/10/2015,SURV,431
